Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-01 00:00:00+00:00,736.42,749.0,714.29,728.91,675114.09329,2021-01-01 23:59:59.999000+00:00,496072043.77740735,483671,338988.53158,249240373.93868393,0
2021-01-02 00:00:00+00:00,728.91,787.69,714.91,774.56,1352618.57668,2021-01-02 23:59:59.999000+00:00,1024472182.612087,824134,686674.73342,519915827.0114855,0
2021-01-03 00:00:00+00:00,774.44,1011.07,768.71,978.28,2813603.88615,2021-01-03 23:59:59.999000+00:00,2522411859.73161,1636501,1439027.79886,1290266275.5931487,0
2021-01-04 00:00:00+00:00,978.33,1162.97,890.0,1041.43,4245010.94004,2021-01-04 23:59:59.999000+00:00,4303634203.2196,2477862,2126337.6721,2157639019.3291917,0
2021-01-05 00:00:00+00:00,1041.45,1134.6,974.45,1099.56,2706995.67525,2021-01-05 23:59:59.999000+00:00,2857050280.0081425,1960503,1337641.02794,1412551452.853558,0
2021-01-06 00:00:00+00:00,1100.16,1213.0,1057.26,1208.42,2390136.59334,2021-01-06 23:59:59.999000+00:00,2725262121.2885127,1600888,1227955.8885,1401239480.530579,0
2021-01-07 00:00:00+00:00,1208.75,1289.0,1131.0,1224.87,1972922.82059,2021-01-07 23:59:59.999000+00:00,2406219891.3685346,1402699,974726.97516,1189746026.1513844,0
2021-01-08 00:00:00+00:00,1224.86,1273.75,1065.0,1216.93,2131172.92341,2021-01-08 23:59:59.999000+00:00,2543427452.5801253,1718817,1042889.10509,1246619297.4198394,0
2021-01-09 00:00:00+00:00,1216.72,1304.37,1171.36,1276.0,1448871.11514,2021-01-09 23:59:59.999000+00:00,1780137376.4164698,1131871,746369.6968,918333130.76833,0
2021-01-10 00:00:00+00:00,1276.0,1348.33,1170.0,1254.25,1951179.35003,2021-01-10 23:59:59.999000+00:00,2517791852.407762,1437486,979792.30536,1266203575.0952866,0
2021-01-11 00:00:00+00:00,1254.24,1260.0,915.0,1087.01,4068784.65678,2021-01-11 23:59:59.999000+00:00,4290593989.580177,2557613,1966216.19764,2073558269.9400127,0
2021-01-12 00:00:00+00:00,1087.0,1150.02,1006.33,1050.16,2302645.34052,2021-01-12 23:59:59.999000+00:00,2491067092.5101275,1516625,1149858.00491,1244662146.2852807,0
2021-01-13 00:00:00+00:00,1050.36,1137.65,987.48,1129.89,1564202.39081,2021-01-13 23:59:59.999000+00:00,1664178969.0738044,1123983,792814.80569,844656818.225537,0
2021-01-14 00:00:00+00:00,1129.79,1247.55,1086.7,1231.62,1555737.38556,2021-01-14 23:59:59.999000+00:00,1825860914.1737955,1255769,794405.96443,932454704.1013689,0
2021-01-15 00:00:00+00:00,1231.89,1256.98,1069.42,1168.53,1944038.83738,2021-01-15 23:59:59.999000+00:00,2302781118.9587398,1519266,966118.73281,1145518024.4912322,0
2021-01-16 00:00:00+00:00,1168.48,1298.0,1151.77,1227.83,1575384.43797,2021-01-16 23:59:59.999000+00:00,1927453174.6117926,1252473,804431.16803,984555467.09146,0
2021-01-17 00:00:00+00:00,1227.83,1269.02,1165.0,1232.45,1317285.00579,2021-01-17 23:59:59.999000+00:00,1606424364.497042,1121278,665250.50449,811881943.4555254,0
2021-01-18 00:00:00+00:00,1232.5,1260.75,1182.58,1258.45,998050.11073,2021-01-18 23:59:59.999000+00:00,1223628040.7372608,940604,499759.24002,613148505.5656064,0
2021-01-19 00:00:00+00:00,1258.52,1438.3,1251.49,1365.36,2278852.55758,2021-01-19 23:59:59.999000+00:00,3120980923.9303093,1840481,1158029.40293,1585793803.6607609,0
2021-01-20 00:00:00+00:00,1365.36,1407.93,1235.42,1376.99,2219137.62144,2021-01-20 23:59:59.999000+00:00,2931656296.4670005,1852253,1103381.0876,1459031149.789856,0
2021-01-21 00:00:00+00:00,1376.72,1390.0,1086.0,1110.96,2254164.80365,2021-01-21 23:59:59.999000+00:00,2787012514.78097,1823458,1088341.96818,1346852630.2030852,0
2021-01-22 00:00:00+00:00,1111.98,1273.79,1042.31,1232.62,2020593.21673,2021-01-22 23:59:59.999000+00:00,2360267831.3175545,1652010,1036188.85921,1212076603.470972,0
2021-01-23 00:00:00+00:00,1232.61,1272.44,1195.9,1233.6,1009545.08258,2021-01-23 23:59:59.999000+00:00,1250575691.7627306,932871,505750.89704,626781286.5809959,0
2021-01-24 00:00:00+00:00,1233.46,1398.83,1220.0,1392.51,1510879.53817,2021-01-24 23:59:59.999000+00:00,1996765627.540519,1313986,790374.50924,1045052388.6384157,0
2021-01-25 00:00:00+00:00,1392.19,1475.0,1293.69,1317.88,1885441.31289,2021-01-25 23:59:59.999000+00:00,2644267236.8971877,1661512,943347.25829,1324815913.9859085,0
2021-01-26 00:00:00+00:00,1317.6,1378.49,1244.56,1365.97,1682923.65799,2021-01-26 23:59:59.999000+00:00,2216751668.392713,1423178,856659.30135,1128968367.8538907,0
2021-01-27 00:00:00+00:00,1366.54,1373.9,1207.0,1239.03,2009772.08358,2021-01-27 23:59:59.999000+00:00,2554649901.074845,1737296,997748.24567,1268777717.4971037,0
2021-01-28 00:00:00+00:00,1238.93,1360.0,1217.23,1329.69,1365269.71962,2021-01-28 23:59:59.999000+00:00,1790490878.1937943,1275024,702526.23919,922191761.3683512,0
2021-01-29 00:00:00+00:00,1329.44,1436.9,1285.35,1379.5,2253963.18682,2021-01-29 23:59:59.999000+00:00,3077996801.2317657,1714076,1126572.38403,1539947796.2074938,0
