Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-01-01 00:00:00+00:00,1.5088,1.86,1.499,1.8421,4421991.45,2021-01-01 23:59:59.999000+00:00,7454786.751421,55297,2245799.78,3786558.94633,0
2021-01-02 00:00:00+00:00,1.8421,2.0,1.7116,1.7999,5253819.62,2021-01-02 23:59:59.999000+00:00,9557980.687576,66430,2823436.79,5138509.116142,0
2021-01-03 00:00:00+00:00,1.7998,2.38,1.7973,2.1779,8318341.13,2021-01-03 23:59:59.999000+00:00,17482673.121984,113481,4234769.76,8925287.220955,0
2021-01-04 00:00:00+00:00,2.1789,2.4989,1.86,2.4909,7800814.8,2021-01-04 23:59:59.999000+00:00,17263517.831706,122009,4012884.1,8935782.996058,0
2021-01-05 00:00:00+00:00,2.4911,2.5093,2.0621,2.1636,6702006.99,2021-01-05 23:59:59.999000+00:00,15133557.770003,102299,3156689.79,7157811.062655,0
2021-01-06 00:00:00+00:00,2.1636,2.189,1.9017,1.9414,8451529.47,2021-01-06 23:59:59.999000+00:00,17221696.084861,88678,3594065.46,7342479.159203,0
2021-01-07 00:00:00+00:00,1.9404,2.65,1.9214,2.3635,30861006.24,2021-01-07 23:59:59.999000+00:00,70874327.568453,271878,16442161.48,37873764.633079,0
2021-01-08 00:00:00+00:00,2.3655,3.8,2.175,3.2214,29866396.67,2021-01-08 23:59:59.999000+00:00,88937219.791137,221673,15326054.47,45285859.111807,0
2021-01-09 00:00:00+00:00,3.212,3.6998,2.93,3.3829,9881188.65,2021-01-09 23:59:59.999000+00:00,32398842.926319,109729,5107947.6,16773576.984372,0
2021-01-10 00:00:00+00:00,3.3734,3.7517,3.1556,3.449,5819813.51,2021-01-10 23:59:59.999000+00:00,19820052.059074,70395,2974378.74,10115504.612912,0
2021-01-11 00:00:00+00:00,3.4455,3.5282,2.5795,3.1016,8734261.68,2021-01-11 23:59:59.999000+00:00,26060971.369733,92843,4457743.46,13346938.247059,0
2021-01-12 00:00:00+00:00,3.1016,3.88,3.058,3.6354,7075911.68,2021-01-12 23:59:59.999000+00:00,24684774.366721,155651,3589655.74,12527196.514783,0
2021-01-13 00:00:00+00:00,3.6354,3.637,3.2633,3.5242,5123655.8,2021-01-13 23:59:59.999000+00:00,17689395.168177,99621,2399232.88,8278207.080563,0
